﻿ANNEE,channel_name,male_duration,female_duration,adresse,Ville,coordinate location,Lat,Long,Pays,
2015,Animaux, 1 645 238 , 956 988 ,Boulogne-Billancourt,Boulogne-Billancourt,48.835277777778,2.2413888888889,48.835277777778,2.2413888888889, France
2015,ARTE, 3 123 603 , 1 231 907 ,Strasbourg,Strasbourg,48.573333333333,7.7522222222222,48.573333333333,7.7522222222222, France
2015,BFM TV, 3 501 573 , 1 773 802 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Canal+, 3 339 791 , 916 718 ,Issy-les-Moulineaux,Issy-les-Moulineaux,48.823055555556,2.2691666666667,48.823055555556,2.2691666666667, France
2015,Canal+ Sport, 2 761 056 , 142 649 ,Issy-les-Moulineaux,Issy-les-Moulineaux,48.823055555556,2.2691666666667,48.823055555556,2.2691666666667, France
2015,ChÃ©rie 25, 2 534 101 , 1 509 401 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,ChÃ©rie FM, 631 373 , 663 166 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Chasse et pÃªche, 2 148 307 , 216 361 ,Boulogne-Billancourt,Boulogne-Billancourt,48.835277777778,2.2413888888889,48.835277777778,2.2413888888889, France
2015,ComÃ©die+, 1 684 000 , 711 369 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,D8/C8, 3 382 933 , 1 284 745 ,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,48.887222222222,2.2675, France
2015,Euronews, 1 753 954 , 960 869 ,Lyon,Lyon,45.758888888889,4.8413888888889,45.758888888889,4.8413888888889, France
2015,Europe 1, 3 598 045 , 1 699 513 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Eurosport France, 4 489 886 , 379 935 ,Boulogne-Billancourt,Boulogne-Billancourt,48.835277777778,2.2413888888889,48.835277777778,2.2413888888889, France
2015,France 2, 3 025 327 , 1 717 379 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,France 24, 2 894 130 , 2 315 673 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,France 3, 3 102 898 , 1 337 863 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,France 5, 3 291 218 , 1 541 184 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,France Bleu, 2 241 276 , 1 195 331 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France 
2015,France Culture, 3 610 380 , 1 631 197 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,France Info, 3 799 123 , 1 645 122 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,France Inter, 3 004 802 , 1 581 309 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,France Musique, 1 199 424 , 437 966 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,France O, 3 003 446 , 1 390 224 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Fun Radio, 1 040 935 , 405 540 ,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,48.887222222222,2.2675, France
2015,Histoire, 3 714 176 , 965 180 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Cnews, 3 395 107 , 1 843 796 ,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,48.887222222222,2.2675, France
2015,La chaÃ®ne MÃ©tÃ©o, 2 294 356 , 361 594 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,LCI, 3 336 574 , 1 947 912 ,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,48.887222222222,2.2675, France
2015,LCP/Public SÃ©nat, 3 761 883 , 1 688 567 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,L'Equipe 21, 4 296 522 , 739 241 ,Boulogne-Billancourt,Boulogne-Billancourt,48.835277777778,2.2413888888889,48.835277777778,2.2413888888889, France
2015,M6, 2 570 491 , 1 759 714 ,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,48.887222222222,2.2675, France
2015,Monte Carlo TMC, 2 985 711 , 1 207 435 ,Boulogne-Billancourt,Boulogne-Billancourt,48.835277777778,2.2413888888889,48.835277777778,2.2413888888889, France
2015,MOUV, 643 115 , 353 368 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Nostalgie, 745 523 , 459 344 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,NRJ, 1 356 190 , 508 988 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,NRJ 12, 2 746 073 , 1 356 225 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Paris PremiÃ¨re, 1 913 488 , 509 177 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,PlanÃ¨te+, 2 291 416 , 432 855 ,Boulogne-Billancourt,Boulogne-Billancourt,48.835277777778,2.2413888888889,48.835277777778,2.2413888888889, France
2015,Radio Classique, 1 114 657 , 619 544 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,RFI, 3 345 856 , 1 711 783 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,RFM, 617 849 , 296 034 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Rire et Chansons, 2 898 889 , 1 035 200 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,RMC, 4 638 882 , 995 447 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,RTL, 3 488 314 , 1 419 489 ,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,48.887222222222,2.2675, France
2015,RTL 2, 513 300 , 415 116 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Skyrock, 1 679 021 , 308 046 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Sud Radio, 3 190 370 , 1 295 608 ,Labège,Labège,43.529166666667,1.53,43.529166666667,1.53, France
2015,TÃ©va, 2 022 835 , 2 123 244 ,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,48.887222222222,2.2675, France
2015,TF1, 2 844 901 , 1 555 343 ,Boulogne-Billancourt,Boulogne-Billancourt,48.835277777778,2.2413888888889,48.835277777778,2.2413888888889, France
2015,Toute l'Histoire, 2 178 725 , 567 246 ,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,48.887222222222,2.2675, France
2015,TV Breizh, 1 700 711 , 834 209 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,TV5 Monde, 1 869 065 , 785 390 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
2015,Virgin Radio, 910 589 , 350 977 ,Paris,Paris,48.85666666666667,2.352222222222222,48.85666666666667,2.352222222222222, France
